Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2015-01-01,1049.3768310546875,1058.219352849685,1047.5011202146668,1058.219352849685,366830
2015-01-02,1063.3515625,1068.092318552737,1051.45850878915,1051.623364394075,925740
2015-01-05,1047.19189453125,1071.7819522987752,1040.7609149743084,1063.9906622518083,1754242
2015-01-06,1008.5858764648438,1042.5956579931205,1005.8650536847911,1042.5956579931205,2423784
2015-01-07,996.6719360351562,1022.0040463220644,992.4464789682407,1018.2320931981634,2636332
2015-01-08,1007.431396484375,1009.5750227901542,997.8468234832026,1006.854200519135,1565408
2015-01-09,1035.6697998046875,1038.8027610816432,1009.9872468278871,1012.0484452908012,3197642
2015-01-12,1034.59814453125,1042.1421525524354,1022.45770327064,1037.6075150215506,1596006
2015-01-13,1029.73388671875,1043.131681917412,1022.3960978640021,1038.8444277116382,1468432
2015-01-14,1039.64794921875,1043.7085507478034,1030.805427289907,1037.1951429959631,1787096
2015-01-15,1046.71826171875,1064.3002513712777,1040.1842197240542,1044.2035583319248,5009920
2015-01-16,1043.8525390625,1049.1498585668714,1024.126933149587,1048.6139269188725,5293830
2015-01-19,1035.1339111328125,1051.623499522025,1031.83599345497,1045.4399038760703,1135074
2015-01-20,1030.78466796875,1042.9663704081383,1023.6941657375532,1038.8439736871576,2058566
2015-01-21,1036.2882080078125,1039.668553516842,1025.7554632388112,1039.668553516842,2310480
2015-01-22,1036.185546875,1039.3597737497184,1028.744597081774,1037.4016343643696,2113214
2015-01-23,1032.0833740234375,1043.811573596428,1028.9915762109904,1036.3706267322466,3150380
2015-01-27,1033.5081787109375,1038.8573444705548,1028.3448718298712,1037.7627637501037,2738736
2015-01-28,1049.01904296875,1051.2082049735607,1033.8594893843037,1033.9008361883377,3121980
2015-01-29,1051.104736328125,1061.038959581737,1037.9899359983506,1048.357897227313,3734392
2015-01-30,1025.2470703125,1063.6414069495263,1020.2696214234292,1057.734562656325,5817402
2015-02-02,1038.52734375,1041.5220630994606,1016.9860580091294,1025.2266793601927,3181802
2015-02-03,1056.7227783203125,1059.510965070498,1035.594559062812,1037.473922788089,2345054
2015-02-04,1038.5684814453125,1062.2783522859238,1033.52911282732,1060.7500332327595,2245418
2015-02-05,1054.3062744140625,1070.5397369001814,1040.509954106458,1040.9230187964567,4530168
2015-02-06,1063.951416015625,1071.8203188306693,1053.6661451790596,1054.5541939582222,2136416
2015-02-09,1037.9901123046875,1061.2044261695407,1032.6616186905885,1058.0650945103769,2076432
2015-02-10,1008.35302734375,1043.5048797623751,1004.9865897919282,1036.792577220608,3799054
2015-02-11,1016.097412109375,1027.3947675111035,1010.8721860655535,1014.0941096166025,2937522
2015-02-12,1017.02734375,1024.3179971658278,1010.7694530650872,1024.3179971658278,3107980
2015-02-13,1048.6680908203125,1052.3856734170167,1016.2425092823925,1020.269890428822,4158326
2015-02-16,1067.689453125,1071.902692092377,1055.3801072431688,1057.4454303493198,2364392
2015-02-18,1088.69384765625,1091.7299132926294,1059.6141354801048,1067.7928360439787,2660014
2015-02-19,1107.44677734375,1110.0284308870785,1088.4251338673366,1088.838198434269,2618002
